date,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,symbol,currency
2022-05-10,00:01:55.7770000,23:52:57.1600000,1.7,1.977,1.623,1.721,640078.25429873,2136,GLMR,USD
2022-05-11,00:06:37.3770000,23:59:51.8510000,1.737,1.785,1.073,1.223,1751445.38107082,3374,GLMR,USD
2022-05-12,00:00:12.1110000,23:59:22.0100000,1.225,1.309,1.038,1.133,1452464.46919851,2132,GLMR,USD
2022-05-13,00:07:24.9880000,23:55:06.8860000,1.141,1.4,1.122,1.194,1254494.59514659,1782,GLMR,USD
2022-05-14,00:02:07.0480000,23:57:36.5130000,1.199,1.261,1.075,1.23,580866.13918227,1024,GLMR,USD
2022-05-15,00:02:53.2620000,23:59:59.3910000,1.226,1.42,1.192,1.412,681087.69128708,978,GLMR,USD
2022-05-16,00:00:55.0390000,23:56:44.5820000,1.41,1.41,1.241,1.289,331578.61179259,723,GLMR,USD
2022-05-17,00:04:12.5280000,23:54:09.3090000,1.29,1.442,1.29,1.399,347145.48773768,692,GLMR,USD
2022-05-18,00:07:16.0720000,23:59:56.7680000,1.4,1.427,1.105,1.105,490515.4392353,804,GLMR,USD
2022-05-19,00:05:53.8090000,23:59:48.8440000,1.1,1.262,1.093,1.208,372534.62530517,587,GLMR,USD
2022-05-20,00:10:59.3830000,23:49:30.4790000,1.203,1.251,1.084,1.128,528244.06364369,718,GLMR,USD
2022-05-21,00:11:50.6170000,23:34:37.8990000,1.136,1.203,1.095,1.177,247876.49659731,320,GLMR,USD
2022-05-22,00:41:47.2280000,23:50:36.5790000,1.184,1.26,1.16,1.237,254094.51171385,497,GLMR,USD
2022-05-23,00:07:51.3450000,23:30:23.1490000,1.23,1.31,1.153,1.161,308423.66454631,543,GLMR,USD
2022-05-24,00:07:37.3490000,23:57:17.8500000,1.18,1.476,1.127,1.391,799695.77043325,2383,GLMR,USD
2022-05-25,00:01:23.2170000,23:52:13.4630000,1.383,1.572,1.26,1.299,562428.1421296,1209,GLMR,USD
2022-05-26,00:40:34.5300000,23:58:38.6720000,1.314,1.325,1.153,1.163,360097.69510402,530,GLMR,USD
2022-05-27,00:00:38.0860000,23:39:28.1810000,1.172,1.238,1.131,1.17,302379.56674064,620,GLMR,USD
2022-05-28,00:17:53.6520000,23:51:02.9940000,1.189,1.235,1.172,1.213,82898.07515155,246,GLMR,USD
2022-05-29,00:15:29.5450000,23:43:29.4080000,1.212,1.231,1.169,1.228,85262.42713815,203,GLMR,USD
2022-05-30,00:29:51.5120000,23:51:57.2970000,1.212,1.513,1.207,1.4,271138.1855356,683,GLMR,USD
2022-05-31,00:03:38.2190000,23:23:41.2580000,1.399,1.408,1.28,1.367,164554.81585177,500,GLMR,USD
2022-06-01,00:16:23.2560000,23:46:37.7730000,1.356,1.369,1.212,1.237,212235.930564,474,GLMR,USD
2022-06-02,00:05:24.6280000,23:58:56.8390000,1.234,1.384,1.225,1.348,240623.73008925,401,GLMR,USD
2022-06-03,00:01:53.5370000,23:49:57.4610000,1.343,1.384,1.253,1.291,136494.96809692,429,GLMR,USD
2022-06-04,00:44:07.0460000,23:48:40.6990000,1.294,1.339,1.285,1.313,101050.97691522,226,GLMR,USD
2022-06-05,00:21:18.0750000,23:58:55.7700000,1.319,1.371,1.295,1.371,121309.14761552,277,GLMR,USD
2022-06-06,00:14:09.6270000,22:14:18.7070000,1.367,1.428,1.317,1.349,100637.3915834,299,GLMR,USD
2022-06-07,00:06:25.7210000,23:48:01.6280000,1.337,1.337,1.227,1.298,189653.32648342,637,GLMR,USD
